Money(raw),Sum,Total Funding in GBP,Funding in GBP,Funding in EUR,Funding in USD,Currencies,Economic Benefit,SpinOff,KTP,Countries,Collaborations,Merge,Acquisition,IndustrialUse,AcademicUse,GovUse,PublicUse,Open Source,Policy Influence,Standard,Public Well Being,Public Service Delivery,Improved accessibility,Improved Workforce,Economic impacts,Changed public attitudes,Solutions to societal problems,Improved Env. Sustainability,Improved regulatory environment,Public Engagement,Patent,Award,Clinical Trial,People Affected,ref 1,ref 2,ref 3,ref 4,ref 5,ref 6,ref7,Reference Cite,r1,r2,r3,r4,r5,r6,Citation_2014,CitationChange,StartYears,Duration,ImpactType Cultural,ImpactType Economic,ImpactType Environmental,ImpactType Health,ImpactType Legal,ImpactType Political,ImpactType Societal,ImpactType Technological,Uni_Outputs,Funders,NumOfCases,Research Income,Degree,FTE,2008GPA,Percentageof4(Overall),GPA(Overall),ResearchPower(Overall),Percentageof4(Output),GPA(Output),Percentageof4(Impact),GPA(Impact),Score,Score_4,Score_9,Score_9s,Discrete Variance
18227430,14948979,14948979,0,18387245,0,1,0,1,0,,18,0,1,9,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,800000,144,10,127,18,18,766,0,1083,0,0,0,0,0,0,0,1083,1996,18,0,0,0,0,0,0,0,1,100,4,4,18944251,63.86,27.5,2.9,46,3.33,92,25,3.05,90,3.9,3.9,4,4,8,0.09
1224850,1224770,1224770,1224770,0,0,1,0,0,0,,2,0,1,10,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,65000,65,74,678,66,74,28,0,985,0,0,0,0,0,0,0,985,1996,18,0,0,0,0,0,0,0,1,100,1,4,18944251,63.86,27.5,2.9,46,3.33,92,25,3.05,90,3.9,3.9,4,4,8,0.09
550000,220000,70000,70000,0,0,1,150000,1,0,,2,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,75000,12,154,112,19,80,4,0,381,0,0,0,0,0,0,0,381,1997,17,1,0,0,0,0,0,0,0,33,0,2,314685,11,9,0,0,1.52,14,0,1.39,0,2.2,2.2,2,2,4,0.16
352220,352220,352220,219700,163000,0,2,0,0,1,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36,4,6,0,2,45,0,93,0,0,0,0,0,0,0,93,2001,13,0,0,0,0,0,0,0,1,33,0,2,314685,11,9,0,0,1.52,14,0,1.39,0,2.2,2.2,2,2,4,0.16
3969251,1650056,450056,450056,0,0,1,1200000,0,0,,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,106,26,42,16,116,450,0,756,0,0,0,0,0,0,0,756,2003,11,0,0,0,1,0,0,0,0,31,1,2,1020804,14,10,2.5,8,2.3,23,13,2.68,0,1.4,1.4,1,1.5,3,0.24
36000,10800000,0,0,0,0,0,10800000,0,0,,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,35,38,74,37,0,17,0,201,0,0,0,0,0,0,0,201,1999,15,0,0,0,0,0,0,0,1,31,0,2,1020804,14,10,2.5,8,2.3,23,13,2.68,0,1.4,1.4,1,1.5,3,0.24
0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5000000,1,6,149,1,14,23,0,194,0,0,0,0,0,0,0,194,1996,18,0,0,0,0,0,0,1,0,91,0,4,9361619,39,27.7,2.65,23,2.97,82,12,2.71,40,3.4,3.4,3,3.5,7,0.24
1437000,175014210,1100000,1100000,0,0,1,173914210,0,1,,2,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9,50,2,17,310,50,0,438,0,0,0,0,0,0,0,438,2006,8,0,0,0,0,0,0,0,1,91,0,4,9361619,39,27.7,2.65,23,2.97,82,12,2.71,40,3.4,3.4,3,3.5,7,0.24
703388,703388,703388,703388,0,0,1,0,0,0,,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,500000,440,128,56,11,0,0,0,635,0,0,0,0,0,0,0,635,2003,11,0,0,0,0,0,0,1,0,91,2,4,9361619,39,27.7,2.65,23,2.97,82,12,2.71,40,3.4,3.4,3,3.5,7,0.24
4842984,4842984,4842984,4842984,0,0,1,0,0,0,,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90,7,39,23,25,46,0,230,0,0,0,0,0,0,0,230,1995,19,0,0,0,0,0,0,0,1,91,1,4,9361619,39,27.7,2.65,23,2.97,82,12,2.71,40,3.4,3.4,3,3.5,7,0.24
